1 0.8623085097507421 
2 2.976218765822098  
3 -8.402230115796038  
4 0.1054136629203555 
5 -0.8564583828174598 
6 1.582759470107601  
7 0.7639421948305453 
8 1.753173414312048  
9 2.798291772190376e+03   
10 -4.8394220260857657e-02 
11 0.9963265197721935      
12 -3.698000291272493e+01  
13 2.084012299434647e+01   
14 8.305402124717285e+01  
15 -9.574799715203068e+02 
16 -1.477746229234994e+02 
17 6.39860785271505e+01
18 1.603993673294834e+01
19 6.805916615864377e+01
20 -2.791293578795945e+03
21 -6.245128304568454
22 -8.116836104958410e+03
23 1.488735559561229e+01
24 -1.059346754655084e+04
25 -1.131607632802822e+02
26 -8.867771540418822e+03
27 -3.986982844450543e+01
28 -4.689270299917261e+03
29 2.593535277438717e+02
30 -2.694523589434903e+03
31 -7.218487631550215e+02
32 1.721802063863269e+02
